기준연월,지역명,방문자 수,숙박방문자 수,신용카드 소비액(천원),식음료업(천원),쇼핑업(천원),숙박업(천원),여가서비스업(천원),운송업(천원),여행업(천원),무박,1박,2박,3박이상,평균 체류시간(분),동행자유형언급(기타가족),동행자유형언급(친구),동행자유형언급(부모님),동행자유형언급(회사동료),동행자유형언급(싱글),동행자유형언급(자녀),동행자유형언급(연인),동행자유형언급(배우자),동행자유형언급(학생),SNS 검색량(건),목적지 유형 검색량(숙박),목적지 유형 검색량(음식),목적지 유형 검색량(기타관광),목적지 유형 검색량(쇼핑),목적지 유형 검색량(자연관광),목적지 유형 검색량(문화관광),목적지 유형 검색량(역사관광),목적지 유형 검색량(체험관광),목적지 유형 검색량(레저스포츠),여행유형/트렌드별 검색량(레포츠),여행유형/트렌드별 검색량(휴식/힐링),여행유형/트렌드별 검색량(체험),여행유형/트렌드별 검색량(미식),여행유형/트렌드별 검색량(기타)
2021년08월,강원도 강릉시 ,3053284,620786,18670008,12227052,2440814,2832335,1156560,12804,444,2431614,438467,131959,50363,349,12779,6251,5608,3350,2709,3602,2742,2618,1120,56013,134427,282222,12101,83448,128228,41619,19398,8736,13465,6942,5939,328,736,1289
2021년09월,강원도 강릉시 ,2700441,549311,15002752,9480631,2567241,1929248,1013514,12056,60,2150336,389954,103065,56293,360,10510,5307,4724,2870,2273,3257,2308,1965,853,46335,93847,194597,7657,60821,84754,30592,15041,6977,9809,5194,5147,326,568,1033
2021년10월,강원도 강릉시 ,2871164,594030,18005896,11532521,3021227,2362021,1072348,15150,2629,2275912,465629,90090,38310,322,10915,5169,5368,2804,2354,3469,2268,2397,913,49110,114068,235241,10036,71049,102543,40219,20267,6990,12582,5683,5494,376,508,1392
2021년11월,강원도 강릉시 ,2467557,492426,16242422,10409821,2810772,2030913,981099,9206,610,1974004,376703,81355,34368,331,11831,5762,4896,2742,2499,3387,2550,2298,896,49115,94872,190263,5523,56798,71364,34378,15711,4326,9315,4690,5564,335,474,1191
2021년12월,강원도 강릉시 ,2632601,553543,15469992,10122570,2501965,1997578,837021,10858,0,2078376,425420,83253,44870,356,12108,6199,4967,3114,2652,3741,2862,2674,1071,51061,97870,190009,3801,65061,68757,34216,12918,3116,6567,4543,4830,371,660,1269
2022년01월,강원도 강릉시 ,2976083,590790,17803389,11754247,2673871,2368491,993771,12909,100,2384936,443524,100195,47070,344,12077,6645,5241,2475,2599,3269,2722,2050,974,49306,89478,199845,4924,78036,80809,50367,14272,3691,5647,4136,4824,305,732,1257
2022년02월,강원도 강릉시 ,2453981,467979,15177531,9994328,2160050,1979275,1036758,6808,312,1985477,358966,69081,39932,331,10851,6022,5081,2361,2498,3277,2595,1977,881,45618,93069,212786,5194,73664,73419,51122,13697,3219,6812,3956,4027,312,617,1163
2022년03월,강원도 강릉시 ,2298799,358895,11685393,7185239,2197569,1321033,975874,5556,123,1939304,254141,52366,52388,327,11028,5484,4813,4269,2391,3192,2461,2267,845,46233,60604,134626,2986,47783,47586,26283,8435,1842,4547,3585,4020,290,549,1039
2022년04월,강원도 강릉시 ,3008889,549794,16969250,11011608,2811908,1911848,1227095,6775,15,2457962,401740,84114,63941,328,11982,5696,5287,2094,2181,4056,2440,3219,810,47204,95850,211308,6329,65216,73254,43345,19686,3198,8215,3464,4213,312,512,938
2022년05월,강원도 강릉시 ,3044304,608472,19888096,12799554,3117217,2405959,1546013,19354,0,2434454,436985,99360,45128,298,13306,8003,9832,3115,5039,3975,2518,2716,1068,64441,116941,249965,8131,75921,88833,53222,18617,4244,10541,6091,5789,771,711,1507
